location_id,year,month_num,region,location,Animal Death/Injury,Animal Parts Trade,Animal Possession,Domestic Animal Trespass,Drugs/Alcohol,Encroachment/Land,Fire,Hunting/Killing,Illegal Entry,Illegal Fishing,Illegal Logging,Meat/Egg Trade,Mining,Other,Tusk Theft,Weapons/Traps,top_offence,total_cases,has_offence,date,month_sin,month_cos,season,lag_cases_1,lag_has_1,lag_top_1,lag_cases_2,lag_has_2,lag_top_2,lag_cases_3,lag_has_3,lag_top_3,roll_3_cases,roll_6_cases,trend_3,trend_6,synthetic_flag
Anuradhapura|Horowpothana NP,2022,1,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Meat/Egg Trade,2.0,1,2022-01-01,0.4999999999999999,0.8660254037844387,NE_monsoon,0.0,0,,0.0,0,,0.0,0,,2.0,2.0,0.0,0.0,0
Anuradhapura|Horowpothana NP,2022,2,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,2022-02-01,0.8660254037844386,0.5000000000000001,NE_monsoon,2.0,1,Meat/Egg Trade,0.0,0,,0.0,0,,1.0,1.0,0.0,0.0,0
Anuradhapura|Horowpothana NP,2022,3,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Encroachment/Land,12.0,1,2022-03-01,1.0,6.123233995736766e-17,Inter_MarApr,0.0,0,,2.0,1,Meat/Egg Trade,0.0,0,,4.666666666666667,4.666666666666667,0.0,0.0,0
Anuradhapura|Horowpothana NP,2022,4,Anuradhapura,Horowpothana NP,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,Animal Death/Injury,21.0,1,2022-04-01,0.8660254037844387,-0.4999999999999998,Inter_MarApr,12.0,1,Encroachment/Land,0.0,0,,2.0,1,Meat/Egg Trade,11.0,8.75,19.0,0.0,0
Anuradhapura|Horowpothana NP,2022,5,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,2022-05-01,0.4999999999999999,-0.8660254037844387,SW_monsoon,21.0,1,Animal Death/Injury,12.0,1,Encroachment/Land,0.0,0,,11.0,7.0,0.0,0.0,0
Anuradhapura|Horowpothana NP,2022,6,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,2022-06-01,1.2246467991473532e-16,-1.0,SW_monsoon,0.0,0,,21.0,1,Animal Death/Injury,12.0,1,Encroachment/Land,7.0,5.833333333333333,-12.0,0.0,0
Anuradhapura|Horowpothana NP,2022,7,Anuradhapura,Horowpothana NP,15.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Animal Death/Injury,23.0,1,2022-07-01,-0.4999999999999997,-0.8660254037844388,SW_monsoon,0.0,0,,0.0,0,,21.0,1,Animal Death/Injury,7.666666666666667,9.333333333333334,2.0,21.0,0
Anuradhapura|Horowpothana NP,2022,8,Anuradhapura,Horowpothana NP,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Animal Death/Injury,27.0,1,2022-08-01,-0.8660254037844384,-0.5000000000000004,SW_monsoon,23.0,1,Animal Death/Injury,0.0,0,,0.0,0,,16.666666666666668,13.833333333333334,27.0,27.0,0
Anuradhapura|Horowpothana NP,2022,9,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,2022-09-01,-1.0,-1.8369701987210294e-16,SW_monsoon,27.0,1,Animal Death/Injury,23.0,1,Animal Death/Injury,0.0,0,,16.666666666666668,11.833333333333334,0.0,-12.0,0
Anuradhapura|Horowpothana NP,2022,10,Anuradhapura,Horowpothana NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,2022-10-01,-0.8660254037844386,0.5000000000000001,Inter_OctNov,0.0,0,,27.0,1,Animal Death/Injury,23.0,1,Animal Death/Injury,9.0,8.333333333333334,-23.0,-21.0,0
