-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/01/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
LAT,LON,YEAR,DOY,PRECTOTCORR
6.0,80.0,2025,1,7.02
6.0,80.625,2025,1,9.66
6.0,81.25,2025,1,15.59
6.0,81.875,2025,1,25.49
6.5,80.0,2025,1,9.42
6.5,80.625,2025,1,14.21
6.5,81.25,2025,1,15.51
6.5,81.875,2025,1,22.42
7.0,80.0,2025,1,14.9
7.0,80.625,2025,1,23.47
7.0,81.25,2025,1,19.51
7.0,81.875,2025,1,14.81
7.5,80.0,2025,1,13.98
7.5,80.625,2025,1,27.85
7.5,81.25,2025,1,31.36
7.5,81.875,2025,1,21.97
8.0,80.0,2025,1,11.82
8.0,80.625,2025,1,21.02
8.0,81.25,2025,1,18.4
8.0,81.875,2025,1,14.42
8.5,80.0,2025,1,6.0
8.5,80.625,2025,1,10.69
8.5,81.25,2025,1,7.95
8.5,81.875,2025,1,6.0
9.0,80.0,2025,1,1.99
9.0,80.625,2025,1,3.74
9.0,81.25,2025,1,3.64
9.0,81.875,2025,1,3.03
9.5,80.0,2025,1,1.2
9.5,80.625,2025,1,1.74
9.5,81.25,2025,1,1.51
9.5,81.875,2025,1,1.12
10.0,80.0,2025,1,0.84
10.0,80.625,2025,1,0.88
10.0,81.25,2025,1,0.48
10.0,81.875,2025,1,0.23
6.0,80.0,2025,2,22.23
6.0,80.625,2025,2,22.08
6.0,81.25,2025,2,25.23
6.0,81.875,2025,2,31.84
6.5,80.0,2025,2,7.71
6.5,80.625,2025,2,8.21
6.5,81.25,2025,2,13.02
6.5,81.875,2025,2,21.82
7.0,80.0,2025,2,4.42
7.0,80.625,2025,2,7.99
7.0,81.25,2025,2,8.58
7.0,81.875,2025,2,11.08
7.5,80.0,2025,2,3.58
7.5,80.625,2025,2,7.79
7.5,81.25,2025,2,7.4
7.5,81.875,2025,2,5.31
8.0,80.0,2025,2,1.78
8.0,80.625,2025,2,2.99
8.0,81.25,2025,2,1.97
8.0,81.875,2025,2,0.76
8.5,80.0,2025,2,0.77
8.5,80.625,2025,2,1.21
8.5,81.25,2025,2,1.15
8.5,81.875,2025,2,0.46
9.0,80.0,2025,2,0.18
9.0,80.625,2025,2,0.39
9.0,81.25,2025,2,0.76
9.0,81.875,2025,2,0.73
9.5,80.0,2025,2,0.08
9.5,80.625,2025,2,0.15
9.5,81.25,2025,2,0.39
9.5,81.875,2025,2,0.49
10.0,80.0,2025,2,0.25
10.0,80.625,2025,2,0.27
10.0,81.25,2025,2,0.23
10.0,81.875,2025,2,0.2
6.0,80.0,2025,3,3.17
6.0,80.625,2025,3,1.75
6.0,81.25,2025,3,2.16
6.0,81.875,2025,3,5.83
6.5,80.0,2025,3,1.44
6.5,80.625,2025,3,0.83
6.5,81.25,2025,3,1.3
6.5,81.875,2025,3,3.39
7.0,80.0,2025,3,0.52
7.0,80.625,2025,3,0.69
7.0,81.25,2025,3,1.09
7.0,81.875,2025,3,1.64
7.5,80.0,2025,3,0.19
7.5,80.625,2025,3,0.43
7.5,81.25,2025,3,1.08
7.5,81.875,2025,3,0.62
8.0,80.0,2025,3,0.02
8.0,80.625,2025,3,0.16
8.0,81.25,2025,3,0.44
8.0,81.875,2025,3,0.15
8.5,80.0,2025,3,0.0
8.5,80.625,2025,3,0.13
8.5,81.25,2025,3,0.4
8.5,81.875,2025,3,0.12
9.0,80.0,2025,3,0.01
9.0,80.625,2025,3,0.08
9.0,81.25,2025,3,0.21
9.0,81.875,2025,3,0.05
9.5,80.0,2025,3,0.06
9.5,80.625,2025,3,0.11
9.5,81.25,2025,3,0.18
9.5,81.875,2025,3,0.07
10.0,80.0,2025,3,0.2
10.0,80.625,2025,3,0.2
10.0,81.25,2025,3,0.16
10.0,81.875,2025,3,0.07
6.0,80.0,2025,4,0.53
6.0,80.625,2025,4,0.28
6.0,81.25,2025,4,0.12
6.0,81.875,2025,4,0.24
6.5,80.0,2025,4,0.44
6.5,80.625,2025,4,0.22
6.5,81.25,2025,4,0.07
6.5,81.875,2025,4,0.05
7.0,80.0,2025,4,0.11
7.0,80.625,2025,4,0.08
7.0,81.25,2025,4,0.12
7.0,81.875,2025,4,0.05
7.5,80.0,2025,4,0.0
7.5,80.625,2025,4,0.02
7.5,81.25,2025,4,0.43
7.5,81.875,2025,4,0.16
8.0,80.0,2025,4,0.0
8.0,80.625,2025,4,0.12
8.0,81.25,2025,4,0.4
8.0,81.875,2025,4,0.17
8.5,80.0,2025,4,0.01
8.5,80.625,2025,4,0.14
8.5,81.25,2025,4,0.43
8.5,81.875,2025,4,0.14
9.0,80.0,2025,4,0.03
9.0,80.625,2025,4,0.08
9.0,81.25,2025,4,0.24
9.0,81.875,2025,4,0.06
9.5,80.0,2025,4,0.07
9.5,80.625,2025,4,0.06
9.5,81.25,2025,4,0.09
9.5,81.875,2025,4,0.04
10.0,80.0,2025,4,0.28
10.0,80.625,2025,4,0.24
10.0,81.25,2025,4,0.1
10.0,81.875,2025,4,0.04
6.0,80.0,2025,5,1.1
6.0,80.625,2025,5,0.53
6.0,81.25,2025,5,0.19
6.0,81.875,2025,5,0.24
6.5,80.0,2025,5,0.86
6.5,80.625,2025,5,0.51
6.5,81.25,2025,5,0.26
6.5,81.875,2025,5,0.21
7.0,80.0,2025,5,0.2
7.0,80.625,2025,5,0.32
7.0,81.25,2025,5,0.27
7.0,81.875,2025,5,0.13
7.5,80.0,2025,5,0.01
7.5,80.625,2025,5,0.09
7.5,81.25,2025,5,0.16
7.5,81.875,2025,5,0.14
8.0,80.0,2025,5,0.0
8.0,80.625,2025,5,0.05
8.0,81.25,2025,5,0.18
8.0,81.875,2025,5,0.16
8.5,80.0,2025,5,0.0
8.5,80.625,2025,5,0.1
8.5,81.25,2025,5,0.35
8.5,81.875,2025,5,0.56
9.0,80.0,2025,5,0.01
9.0,80.625,2025,5,0.07
9.0,81.25,2025,5,0.23
9.0,81.875,2025,5,1.16
9.5,80.0,2025,5,0.02
9.5,80.625,2025,5,0.04
9.5,81.25,2025,5,0.09
9.5,81.875,2025,5,1.08
10.0,80.0,2025,5,0.05
10.0,80.625,2025,5,0.06
10.0,81.25,2025,5,0.06
10.0,81.875,2025,5,0.55
6.0,80.0,2025,6,0.32
6.0,80.625,2025,6,0.19
6.0,81.25,2025,6,0.24
6.0,81.875,2025,6,0.37
6.5,80.0,2025,6,0.15
6.5,80.625,2025,6,0.06
6.5,81.25,2025,6,0.34
6.5,81.875,2025,6,0.38
7.0,80.0,2025,6,0.02
7.0,80.625,2025,6,0.05
7.0,81.25,2025,6,0.7
7.0,81.875,2025,6,0.72
7.5,80.0,2025,6,0.0
7.5,80.625,2025,6,0.13
7.5,81.25,2025,6,1.35
7.5,81.875,2025,6,1.78
8.0,80.0,2025,6,0.0
8.0,80.625,2025,6,0.38
8.0,81.25,2025,6,1.83
8.0,81.875,2025,6,3.64
8.5,80.0,2025,6,0.0
8.5,80.625,2025,6,0.31
8.5,81.25,2025,6,2.71
8.5,81.875,2025,6,11.11
9.0,80.0,2025,6,0.0
9.0,80.625,2025,6,0.22
9.0,81.25,2025,6,2.56
9.0,81.875,2025,6,12.21
9.5,80.0,2025,6,0.01
9.5,80.625,2025,6,0.23
9.5,81.25,2025,6,1.8
9.5,81.875,2025,6,7.59
10.0,80.0,2025,6,0.03
10.0,80.625,2025,6,0.23
10.0,81.25,2025,6,1.02
10.0,81.875,2025,6,3.23
6.0,80.0,2025,7,0.15
6.0,80.625,2025,7,0.13
6.0,81.25,2025,7,0.1
6.0,81.875,2025,7,0.32
6.5,80.0,2025,7,0.09
6.5,80.625,2025,7,0.19
6.5,81.25,2025,7,0.24
6.5,81.875,2025,7,0.36
7.0,80.0,2025,7,0.04
7.0,80.625,2025,7,0.3
7.0,81.25,2025,7,0.5
7.0,81.875,2025,7,0.53
7.5,80.0,2025,7,0.06
7.5,80.625,2025,7,0.5
7.5,81.25,2025,7,0.97
7.5,81.875,2025,7,1.11
8.0,80.0,2025,7,0.32
8.0,80.625,2025,7,1.11
8.0,81.25,2025,7,2.16
8.0,81.875,2025,7,1.85
8.5,80.0,2025,7,0.92
8.5,80.625,2025,7,2.21
8.5,81.25,2025,7,2.74
8.5,81.875,2025,7,2.24
9.0,80.0,2025,7,1.18
9.0,80.625,2025,7,2.08
9.0,81.25,2025,7,2.69
9.0,81.875,2025,7,2.41
9.5,80.0,2025,7,1.63
9.5,80.625,2025,7,2.15
9.5,81.25,2025,7,2.75
9.5,81.875,2025,7,2.59
10.0,80.0,2025,7,1.94
10.0,80.625,2025,7,2.99
10.0,81.25,2025,7,3.51
10.0,81.875,2025,7,2.89
6.0,80.0,2025,8,0.99
6.0,80.625,2025,8,0.91
6.0,81.25,2025,8,0.7
6.0,81.875,2025,8,1.14
6.5,80.0,2025,8,1.0
6.5,80.625,2025,8,1.21
6.5,81.25,2025,8,1.01
6.5,81.875,2025,8,0.99
7.0,80.0,2025,8,0.52
7.0,80.625,2025,8,1.43
7.0,81.25,2025,8,1.61
7.0,81.875,2025,8,1.46
7.5,80.0,2025,8,0.16
7.5,80.625,2025,8,1.45
7.5,81.25,2025,8,2.29
7.5,81.875,2025,8,2.86
8.0,80.0,2025,8,0.16
8.0,80.625,2025,8,0.97
8.0,81.25,2025,8,2.77
8.0,81.875,2025,8,3.22
8.5,80.0,2025,8,0.38
8.5,80.625,2025,8,1.06
8.5,81.25,2025,8,2.41
8.5,81.875,2025,8,3.24
9.0,80.0,2025,8,0.45
9.0,80.625,2025,8,0.89
9.0,81.25,2025,8,1.56
9.0,81.875,2025,8,1.74
9.5,80.0,2025,8,0.34
9.5,80.625,2025,8,0.55
9.5,81.25,2025,8,0.89
9.5,81.875,2025,8,0.83
10.0,80.0,2025,8,0.17
10.0,80.625,2025,8,0.31
