TimeOfDay,Name,RoadDistance,Date_parsed,Elevation,LC_40.0,LC_90.0,Season,EleID,Year,LC_10.0,LC_60.0,Datetime_standard,Month,HumanDistance,LC_50.0,longitude,LandCover2,latitude,WaterDistance,NDVI_normalized,LC_20.0,Day,Hour,DayOfWeek,Protected,ElephantPresent,LC_80.0,LC_30.0
Night,Negative,1115.048663,2009-12-05,10.0,0,0,Dry,0,2009.0,0,1,2009-12-05 00:00:00,12.0,417.9268672,0,80.14348133285651,60.0,5.237948599763939,1011.359446,0.6874,0,5.0,0,5.0,0,0,0,0
Night,Mihiri,1857.664983,,148.0,0,0,,621999,,1,0,,,2286.408997,0,80.83427327,10.0,8.044263947,303.3775597,0.877,0,,4,,1,1,0,0
Evening,Negative,1115.048663,2009-11-02,10.0,0,0,Inter-Monsoon-2,0,2009.0,0,1,2009-11-02 20:00:00,11.0,417.9268672,0,80.95036841743595,60.0,5.353237596517305,1011.359446,0.6874,0,2.0,20,0.0,0,0,0,0
Afternoon,Kala,1685.092284,2009-12-07 00:00:00,135.0,0,0,Dry,621991,2009.0,1,0,2009-12-07 16:00:00,12.0,3318.162049,0,80.56321585,10.0,7.98898838,2423.432582,0.3539,0,7.0,16,0.0,1,1,0,0
Afternoon,Samudra,485.5111639,2009-12-05 00:00:00,132.0,0,0,Dry,621991,2009.0,0,0,2009-12-05 16:00:00,12.0,1234.849339,0,80.80929588,30.0,8.106232689,3044.703789,0.7738,0,5.0,16,5.0,1,1,0,1
Afternoon,Sugala,601.5966085,,44.0,0,0,,621513,,0,0,,,1480.868724,0,81.62485799,30.0,7.32294951,2149.188441,0.839,0,,16,,0,1,0,1
Evening,Sakunthala,1891.750053,,62.0,0,0,,621992,,1,0,,,3192.383756,0,81.08876045,10.0,6.38292431,2471.772107,0.7465,0,,20,,1,1,0,0
Early Morning,Samudra,2416.272704,2010-04-03 00:00:00,170.0,0,0,Inter-Monsoon,621990,2010.0,1,0,2010-04-03 08:00:00,4.0,1841.052361,0,80.80319816,10.0,8.083661367,4151.757695,0.8678,0,3.0,8,5.0,1,1,0,0
Night,Madara,1203.116039,2010-02-04 00:00:00,89.0,0,0,Dry,621994,2010.0,1,0,2010-02-04 00:00:00,2.0,584.4155067,0,80.30744072,10.0,7.985301564,1187.72942,0.8115,0,4.0,0,3.0,0,1,0,0
Midday,Negative,401433.7911,2010-09-08,84.0,0,0,Inter-Monsoon-2,0,2010.0,1,0,2010-09-08 12:00:00,9.0,401727.8367,0,84.42334984582952,10.0,5.881959986106175,399051.0405,-0.2,0,8.0,12,2.0,0,0,0,0
Night,Soma,804.146408,,29.0,0,0,,621995,,0,0,,,4904.384868,0,81.18060015,30.0,8.102890468,11603.06309,0.3139,0,,0,,1,1,0,1
Evening,Kumari,2585.189296,,68.0,0,0,,622000,,1,0,,,1372.116242,0,80.21817812,10.0,7.9748315,741.1278509,0.8702,0,,20,,0,1,0,0
Early Morning,Negative,562.8467021,2009-11-08,219.0,0,0,Inter-Monsoon-2,0,2009.0,0,0,2009-11-08 08:00:00,11.0,648.8824737,0,80.6660488102786,80.0,7.831508549094448,69.67786586,0.4918,0,8.0,8,6.0,0,0,1,0
Midday,Negative,1070.236594,2010-05-07,10.0,1,0,Inter-Monsoon,0,2010.0,0,0,2010-05-07 12:00:00,5.0,351.455844,0,84.30885616851305,40.0,7.701973626824168,1675.122865,0.7758,0,7.0,12,4.0,0,0,0,0
Midday,Negative,480.4430664,2010-04-08,16.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-04-08 12:00:00,4.0,1449.497527,0,82.37745476957448,10.0,6.860348237042475,5503.669844,0.8402,0,8.0,12,3.0,1,0,0,0
Night,Ekes,5871.733737,2010-03-12 00:00:00,100.0,0,0,Inter-Monsoon,621996,2010.0,0,0,2010-03-12 04:00:00,3.0,7958.852941,0,81.20445717,30.0,6.560936782,1766.952274,0.7509,0,12.0,4,4.0,0,1,0,1
Evening,Negative,283.3800832,2010-03-12,15.0,0,0,Inter-Monsoon,0,2010.0,1,0,2010-03-12 20:00:00,3.0,318.8917127,0,82.5244777637655,10.0,4.750216218745783,51.41555241,0.829,0,12.0,20,4.0,1,0,0,0
